Name,years
"Gervin,George","[1980, 1981, 1982, 1983, 1984, 1985, 1986]"
"Malone,Moses","[1980, 1981, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989, 1991, 1992, 1993, 1994, 1995]"
"Erving,Julius","[1980, 1981, 1982, 1983, 1984, 1985, 1986, 1987]"
"Free,World B.","[1980, 1981, 1982, 1983, 1984, 1985, 1986, 1987, 1988]"
"Abdul-Jabbar,Kareem","[1980, 1981, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989]"
"Issel,Dan","[1980, 1981, 1982, 1983, 1984, 1985]"
"Dantley,Adrian","[1980, 1981, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989, 1991]"
"Hayes,Elvin","[1980, 1981, 1982, 1983, 1984]"
"Birdsong,Otis","[1980, 1981, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989]"
"Mitchell,Mike","[1980, 1981, 1982, 1983, 1984, 1985, 1986, 1987, 1988]"
"Williams,Gus","[1980, 1982, 1983, 1984, 1985, 1986, 1987]"
"Westphal,Paul","[1980, 1981, 1982, 1983, 1984]"
"Cartwright,Bill","[1980, 1981, 1982, 1983, 1984, 1986, 1987, 1988, 1989, 1991, 1992, 1993, 1994, 1995]"
"Bird,Larry","[1980, 1981, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989, 1991, 1992]"
"Williams,Ray","[1980, 1981, 1982, 1983, 1984, 1985, 1986, 1987]"
"Johnson,Marques","[1980, 1981, 1982, 1983, 1984, 1985, 1986, 1987]"
"Theus,Reggie","[1980, 1981, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989, 1991]"
"Wilkes,Jamaal","[1980, 1981, 1982, 1983, 1984, 1985, 1986]"
"Newlin,Mike","[1980, 1981, 1982]"
"Davis,Walter","[1980, 1981, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989, 1991, 1992]"
"Johnson,Mickey","[1980, 1981, 1982, 1983, 1984, 1985, 1986]"
"Kenon,Larry","[1980, 1981, 1982, 1983]"
"Drew,John","[1980, 1981, 1982, 1983, 1984, 1985]"
"Natt,Calvin","[1980, 1981, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989]"
"Knight,Toby","[1980, 1982]"
"Johnson,Dennis","[1980, 1981, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989]"
"Williams,Freeman","[1980, 1981, 1982, 1983, 1986]"
"Murphy,Calvin","[1980, 1981, 1982, 1983]"
"Johnson,Eddie","[1980, 1981, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989, 1991, 1992, 1993, 1994, 1996, 1997, 1998, 1999]"
